"Level","Model","F1","AUC","Prec_at_90Rec","Threshold"
"Lv0","Persistence",0.555193711398091,0.765210824352562,0.349874371859296,150
"Lv1","Logistic",0.54824466159971,0.770316246746561,0.381208447399296,0.275
"Lv2","XGBoost",0.567726932978988,0.767422579358798,0.410637177461822,0.565
"Lv3","+Spatial",0.582306263717711,0.778055736402466,0.409515807163113,0.6
"Lv4","+Wind+Cluster",0.565644486204835,0.77901990819922,0.416515329558808,0.595
"Lv5","+ERA5 Weather",0.587763289869609,0.790016455332229,0.420286730624124,0.575
